Reassign > 5?,technician Pickup in < 15 Min?,-0.049568966,
Resolved < 60 Min?,Week Escala0d,-0.050151698,
Cluster,Support Level(IE?),-0.050757104,
Technician Pickup Time (Min),IE Catgory,-0.055988615,
Support Level(IE?),Week Escala0d,-0.055999953,
MTTR SLA Met?,Knowledge Article Used?,-0.056117002,
Support Level(IE?),Week Resolved,-0.056190964,
technician Pickup in < 15 Min?,Priority,-0.056261174,
Week Escala0d,KB Article Used?,-0.058241631,
05 min or less?,technician Pickup in < 15 Min?,-0.06036071,
Support Level(IE?),MTTR SLA Met?,-0.060726202,
IE Escalation Time (Hrs),Reopened?,-0.061171644,
Reopened?,Business Resolution Time (Hrs),-0.061722933,
IE Escalation Time (Hrs),IE Catgory,-0.063664235,
Resolved < 60 Min?,Reopened?,-0.06635093,
KB Article Used?,Automation Pickup Time Range,-0.066696158,
IE Escalation Time (Hrs),Reopen count,-0.069019382,
MTTR SLA Met?,Automation Pickup Time (Min),-0.072521745,
Support Level(IE?),Reassign > 5?,-0.073033503,
technician Pickup in < 15 Min?,Reassignment count,-0.07344208,
Priority,Reassign > 5?,-0.074180855,
technician Pickup in < 15 Min?,Weightage,-0.074860509,
Knowledge Article Used?,Weightage,-0.0760201,
Hour Resolved,Reopened?,-0.076559888,
Business Resolution Time (Hrs),Reassign > 5?,-0.077813782,
Week Resolved,Business Resolution Time (Hrs),-0.078352562,
Knowledge Article Used?,Business Resolution Time (Hrs),-0.078461173,
Week Resolved,technician Pickup in < 15 Min?,-0.078907941,
MTTR SLA Met?,Hour Resolved,-0.079111937,
Week Escala0d,Hour Resolved,-0.081377396,
Resolved < 60 Min?,Reopen count,-0.081418716,
Technician Pickup Time (Min),Reopen count,-0.081707919,
MTTR SLA Met?,KB Article Used?,-0.082529396,
Support Level(IE?),Technician Pickup Time (Min),-0.084155765,
IE Escalation Time (Hrs),Knowledge Article Used?,-0.086789317,
Resolved < 60 Min?,Support Level(IE?),-0.087438076,
IE Escalation Time (Hrs),KB Article Used?,-0.087653832,
Technician Pickup Time (Min),Reopened?,-0.088810546,
Knowledge Article Used?,Reopen count,-0.092925371,
Reopened?,Knowledge Article Used?,-0.093101363,
Initial Priority,Highest Assignment group,-0.094971103,
Week Resolved,MTTR SLA Met?,-0.095551854,
Automation Pickup Time Range,Knowledge Article Used?,-0.097199951,
